,loop,date,time,spd,lat,lon,mx,my,mz,mdir,th_des,th_err,dist,st,st_fin,col,waypoint
4816,4816,12.7.2023, 012:38:53.00,4.02,37.43956,24.94549,40.44,12.25,60.46,73.15,65.53,-7.61,25.52,84,84,0,0
4819,4819,12.7.2023, 012:38:54.00,4.17,37.43956,24.945503,44.09,8.59,60.46,78.97,64.77,-14.2,24.42,78,78,0,0
4823,4823,12.7.2023, 012:38:55.00,4.04,37.43956,24.945517,41.66,12.25,61.64,73.61,63.26,-10.35,23.46,84,84,0,0
4827,4827,12.7.2023, 012:38:56.00,4.06,37.43956,24.945528,44.09,12.25,59.29,74.47,62.49,-11.99,22.52,84,84,0,0
4831,4831,12.7.2023, 012:38:57.00,3.89,37.43956,24.945541,40.44,13.47,60.46,71.58,61.01,-10.57,21.45,84,84,0,0
4835,4835,12.7.2023, 012:38:58.00,4.19,37.43956,24.945555,41.66,14.69,61.64,70.58,58.92,-11.66,20.4,84,84,0,0
4839,4839,12.7.2023, 012:38:59.00,4.17,37.43956,24.945568,44.09,12.25,60.46,74.47,57.56,-16.91,19.37,78,78,0,0
4843,4843,12.7.2023, 012:39:00.00,4.04,37.43956,24.94558,45.31,15.91,59.29,70.66,56.08,-14.58,18.61,78,78,0,0
4847,4847,12.7.2023, 012:39:01.00,4.17,37.43956,24.945593,35.56,22.0,66.34,58.26,53.9,-4.36,17.61,90,90,0,0
4850,4850,12.7.2023, 012:39:02.00,4.15,37.43956,24.945606,42.88,19.56,60.46,65.47,51.47,-14.0,16.65,78,78,0,0
4852,4852,12.7.2023, 012:39:03.00,3.87,37.43956,24.945618,40.44,22.0,63.99,61.45,48.6,-12.85,15.83,78,78,0,0
4856,4856,12.7.2023, 012:39:04.00,4.13,37.439564,24.945629,41.66,28.09,62.81,56.0,47.95,-8.06,14.9,84,84,0,0
4860,4860,12.7.2023, 012:39:05.00,4.09,37.439564,24.945642,35.56,23.22,63.99,56.86,44.68,-12.18,14.02,84,84,0,0
4864,4864,12.7.2023, 012:39:06.00,3.93,37.439568,24.945656,38.0,29.31,60.46,52.35,42.65,-9.71,12.91,84,84,0,0
4868,4868,12.7.2023, 012:39:07.00,4.06,37.439571,24.945667,35.56,28.09,61.64,51.69,40.15,-11.54,11.64,84,84,0,0
4872,4872,12.7.2023, 012:39:08.00,3.93,37.439575,24.945681,35.56,30.53,61.64,49.35,38.45,-10.9,10.67,84,84,0,0
4876,4876,12.7.2023, 012:39:09.00,4.13,37.439575,24.945692,34.34,32.97,61.64,46.17,33.73,-12.44,10.05,78,78,0,0
4878,4878,12.7.2023, 012:39:10.00,4.11,37.439583,24.945705,31.91,32.97,63.99,44.06,29.32,-14.74,8.76,78,78,0,0
4882,4882,12.7.2023, 012:39:11.00,4.02,37.439587,24.945717,33.13,36.63,60.46,42.13,23.59,-18.54,7.94,72,72,0,0
4886,4886,12.7.2023, 012:39:12.00,4.09,37.43959,24.945726,27.03,35.41,62.81,37.36,20.04,-17.32,7.3,78,78,0,0
4890,4890,12.7.2023, 012:39:13.00,3.8,37.439594,24.945738,20.94,42.72,61.64,26.11,12.44,-13.67,6.63,78,78,0,0
4894,4894,12.7.2023, 012:39:14.00,4.22,37.439602,24.945745,22.16,46.38,61.64,25.54,9.02,-16.51,5.77,78,78,0,0
4898,4898,12.7.2023, 012:39:15.00,4.04,37.439613,24.945753,11.19,45.16,62.81,13.91,1.98,-11.94,4.18,78,78,0,0
4902,4902,12.7.2023, 012:39:16.00,3.74,37.439621,24.945761,7.53,50.03,61.64,8.56,353.21,-15.35,3.45,78,78,0,0
4904,4904,12.7.2023, 012:39:17.00,4.3,37.439629,24.945766,2.66,48.81,62.81,3.11,339.67,-23.45,2.86,72,72,0,0
4908,4908,12.7.2023, 012:39:18.00,3.8,37.43964,24.945768,-5.88,47.59,62.81,352.96,317.78,-35.18,1.66,60,60,0,1
4912,4912,12.7.2023, 012:39:21.00,2.89,37.439663,24.945759,-41.22,25.66,59.29,301.9,253.69,-48.21,37.86,48,48,0,1
4916,4916,12.7.2023, 012:39:22.00,2.63,37.439667,24.945751,-43.66,-1.16,58.11,268.48,252.87,-15.61,37.39,78,78,0,1
4920,4920,12.7.2023, 012:39:23.00,3.57,37.439667,24.945742,-38.78,-14.56,58.11,249.42,252.17,2.75,36.52,90,90,0,1
4924,4924,12.7.2023, 012:39:24.00,4.15,37.439663,24.94573,-38.78,-14.56,58.11,249.42,252.89,3.47,35.55,90,90,0,1
4927,4927,12.7.2023, 012:39:25.00,4.39,37.439659,24.945717,-35.13,-18.22,56.93,242.58,253.21,10.62,34.28,90,90,0,1
4929,4929,12.7.2023, 012:39:26.00,4.35,37.439651,24.945705,-36.34,-19.44,59.29,241.86,253.31,11.45,33.05,96,96,0,1
4933,4933,12.7.2023, 012:39:27.00,4.59,37.439648,24.945692,-38.78,-15.78,59.29,247.86,254.0,6.14,31.79,90,90,0,1
4937,4937,12.7.2023, 012:39:28.00,4.52,37.43964,24.945679,-41.22,-17.0,56.93,247.59,254.4,6.82,30.42,90,90,0,1
4941,4941,12.7.2023, 012:39:29.00,4.52,37.439636,24.945667,-40.0,-19.44,56.93,244.08,254.29,10.2,29.44,90,90,0,1
4945,4945,12.7.2023, 012:39:30.00,4.63,37.439629,24.945654,-35.13,-19.44,61.64,241.04,256.24,15.2,27.98,96,96,0,1
4949,4949,12.7.2023, 012:39:31.00,4.44,37.439625,24.945642,-37.56,-15.78,56.93,247.21,256.49,9.28,26.87,90,90,0,1
4952,4952,12.7.2023, 012:39:32.00,4.48,37.439621,24.945629,-42.44,-20.66,54.58,244.05,257.1,13.06,25.61,96,96,0,1
4954,4954,12.7.2023, 012:39:33.00,4.35,37.439613,24.945618,-37.56,-15.78,55.76,247.21,257.49,10.28,24.55,96,96,0,1
4958,4958,12.7.2023, 012:39:34.00,4.41,37.43961,24.945606,-38.78,-14.56,59.29,249.42,257.84,8.42,23.44,90,90,0,1
4962,4962,12.7.2023, 012:39:35.00,4.56,37.439602,24.945593,-42.44,-15.78,58.11,249.6,260.08,10.48,22.04,96,96,0,1
4966,4966,12.7.2023, 012:39:36.00,4.54,37.439598,24.94558,-40.0,-10.91,59.29,254.75,261.05,6.3,20.79,90,90,0,1
4970,4970,12.7.2023, 012:39:37.00,4.54,37.439594,24.945566,-42.44,-14.56,54.58,251.06,261.05,9.99,19.53,96,96,0,1
4974,4974,12.7.2023, 012:39:38.00,4.37,37.43959,24.945555,-40.0,-13.34,56.93,251.55,262.36,10.8,18.58,96,96,0,1
4978,4978,12.7.2023, 012:39:39.00,4.59,37.439583,24.945541,-42.44,-13.34,58.11,252.55,264.95,12.4,17.29,96,96,0,1
4980,4980,12.7.2023, 012:39:40.00,4.37,37.439579,24.945528,-41.22,-12.13,55.76,253.61,263.9,10.29,16.05,96,96,0,1
4984,4984,12.7.2023, 012:39:41.00,4.43,37.439575,24.945515,-40.0,-8.47,56.93,258.05,267.06,9.01,14.82,90,90,0,1
4988,4988,12.7.2023, 012:39:42.00,4.43,37.439571,24.945501,-43.66,-12.13,59.29,254.48,267.6,13.12,13.59,96,96,0,1
4993,4993,12.7.2023, 012:39:43.00,3.76,37.439568,24.94549,-40.0,-2.38,59.29,266.6,270.0,3.4,12.66,90,90,0,1
4997,4997,12.7.2023, 012:39:44.00,3.7,37.439568,24.945477,-43.66,8.59,56.93,281.14,270.0,-11.14,11.46,84,84,0,1
5001,5001,12.7.2023, 012:39:45.00,4.0,37.439564,24.945465,-42.44,1.28,58.11,271.73,273.13,1.41,10.41,90,90,0,1
5005,5005,12.7.2023, 012:39:46.00,4.3,37.439564,24.945452,-46.09,-3.59,59.29,265.54,272.36,6.82,9.2,90,90,0,1
5009,5009,12.7.2023, 012:39:47.00,4.37,37.439564,24.945438,-48.53,-6.03,54.58,262.92,274.0,11.09,8.15,96,96,0,1
5013,5013,12.7.2023, 012:39:48.00,4.39,37.43956,24.945425,-42.44,-1.16,59.29,268.44,279.33,10.89,6.98,96,96,0,1
5017,5017,12.7.2023, 012:39:49.00,4.39,37.43956,24.945412,-44.88,-3.59,60.46,265.42,281.25,15.83,5.78,102,102,0,1
5022,5022,12.7.2023, 012:39:50.00,4.22,37.439556,24.9454,-38.78,-2.38,59.29,266.5,288.01,21.51,4.81,108,108,0,1
5026,5026,12.7.2023, 012:39:51.00,4.15,37.439556,24.945387,-42.44,12.25,59.29,286.1,293.66,7.56,3.65,96,96,0,1
5030,5030,12.7.2023, 012:39:52.00,3.22,37.439556,24.945375,-38.78,18.34,61.64,295.31,300.65,5.34,2.8,90,90,0,1
5034,5034,12.7.2023, 012:39:53.00,3.41,37.43956,24.945366,-44.88,23.22,56.93,297.36,308.71,11.35,1.82,96,96,0,0
5038,5038,12.7.2023, 012:39:56.00,3.19,37.439568,24.945332,-32.69,31.75,65.16,314.17,75.48,121.31,38.57,150,150,0,0
5042,5042,12.7.2023, 012:39:57.00,2.33,37.439571,24.945324,-8.31,45.16,63.99,349.57,76.51,86.94,38.98,150,150,0,0
5046,5046,12.7.2023, 012:39:58.00,1.83,37.439575,24.94532,17.28,42.72,63.99,22.03,77.74,55.71,39.34,144,144,0,0
5050,5050,12.7.2023, 012:39:59.00,1.94,37.439579,24.945322,36.78,28.09,62.81,52.63,78.51,25.88,39.11,114,114,0,0
5053,5053,12.7.2023, 012:40:00.00,2.98,37.439583,24.945328,44.09,12.25,62.81,74.47,78.33,3.86,38.45,96,96,0,0
5055,5055,12.7.2023, 012:40:01.00,3.48,37.439583,24.945339,44.09,4.94,59.29,83.61,78.0,-5.61,37.41,90,90,0,0
5059,5059,12.7.2023, 012:40:02.00,4.0,37.439583,24.945351,46.53,0.06,60.46,89.92,77.42,-12.51,36.53,84,84,0,0
5063,5063,12.7.2023, 012:40:03.00,4.5,37.439579,24.945364,41.66,-3.59,60.46,94.93,77.29,-17.64,35.43,84,84,0,0
5067,5067,12.7.2023, 012:40:04.00,3.94,37.439575,24.945375,39.22,-1.16,59.29,91.69,75.68,-16.01,34.49,84,84,0,0
5071,5071,12.7.2023, 012:40:05.00,4.2,37.439571,24.945389,42.88,-1.16,61.64,91.54,74.23,-17.32,33.42,84,84,0,0
5075,5075,12.7.2023, 012:40:06.00,4.37,37.439568,24.9454,47.75,-7.25,59.29,98.63,73.16,-25.48,32.76,72,72,0,0
5079,5079,12.7.2023, 012:40:07.00,3.85,37.439564,24.945414,42.88,0.06,59.29,89.92,71.54,-18.37,31.73,78,78,0,0
5082,5082,12.7.2023, 012:40:08.00,4.19,37.439564,24.945425,42.88,3.72,58.11,85.04,70.92,-14.12,30.73,84,84,0,0
5086,5086,12.7.2023, 012:40:09.00,4.11,37.43956,24.945438,44.09,2.5,58.11,86.76,69.47,-17.28,29.71,78,78,0,0
5090,5090,12.7.2023, 012:40:10.00,4.09,37.439556,24.94545,41.66,8.59,62.81,78.34,68.15,-10.2,29.0,84,84,0,0
5094,5094,12.7.2023, 012:40:11.00,4.2,37.439552,24.945463,42.88,9.81,60.46,77.11,66.16,-10.95,28.03,84,84,0,0
5098,5098,12.7.2023, 012:40:12.00,4.19,37.439552,24.945477,44.09,9.81,62.81,77.45,64.76,-12.69,26.93,84,84,0,0
5102,5102,12.7.2023, 012:40:13.00,4.24,37.439548,24.94549,42.88,7.38,60.46,80.24,63.63,-16.61,26.0,78,78,0,0
5105,5105,12.7.2023, 012:40:14.00,4.04,37.439548,24.945503,40.44,8.59,60.46,78.0,62.79,-15.21,24.92,84,84,0,0
5107,5107,12.7.2023, 012:40:15.00,4.19,37.439548,24.945517,42.88,7.38,61.64,80.24,61.24,-19.0,23.98,78,78,0,0
5111,5111,12.7.2023, 012:40:16.00,4.04,37.439545,24.94553,42.88,9.81,61.64,77.11,58.99,-18.12,23.12,78,78,0,0
5115,5115,12.7.2023, 012:40:17.00,3.96,37.439545,24.945541,44.09,11.03,60.46,75.95,57.59,-18.36,22.22,78,78,0,0
5119,5119,12.7.2023, 012:40:18.00,4.07,37.439541,24.945555,45.31,13.47,60.46,73.45,54.61,-18.84,21.42,78,78,0,0
5123,5123,12.7.2023, 012:40:19.00,4.09,37.439541,24.945568,42.88,13.47,59.29,72.56,53.09,-19.47,20.44,78,78,0,0
5127,5127,12.7.2023, 012:40:20.00,4.11,37.439541,24.945581,41.66,13.47,61.64,72.08,51.25,-20.83,19.6,78,78,0,0
5131,5131,12.7.2023, 012:40:21.00,3.87,37.439541,24.945595,46.53,15.91,59.29,71.13,48.95,-22.18,18.67,72,72,0,0
5133,5133,12.7.2023, 012:40:22.00,4.02,37.439537,24.945606,42.88,20.78,61.64,64.14,44.62,-19.52,18.4,78,78,0,0
5137,5137,12.7.2023, 012:40:23.00,3.93,37.439537,24.94562,36.78,23.22,62.81,57.74,41.46,-16.28,17.57,78,78,0,0
5141,5141,12.7.2023, 012:40:24.00,3.91,37.439541,24.945633,36.78,25.66,65.16,55.1,40.5,-14.6,16.19,78,78,0,0
5146,5146,12.7.2023, 012:40:25.00,3.8,37.439541,24.945644,35.56,29.31,61.64,50.5,38.45,-12.05,15.61,84,84,0,0
5150,5150,12.7.2023, 012:40:26.00,3.87,37.439545,24.945656,33.13,31.75,61.64,46.21,36.17,-10.05,14.66,84,84,0,0
5154,5154,12.7.2023, 012:40:27.00,3.93,37.439548,24.945667,30.69,34.19,61.64,41.91,34.02,-7.9,13.74,84,84,0,0
5158,5158,12.7.2023, 012:40:28.00,3.82,37.439552,24.945679,33.13,36.63,62.81,42.13,30.77,-11.35,12.93,84,84,0,0
5162,5162,12.7.2023, 012:40:29.00,3.98,37.439556,24.94569,33.13,35.41,60.46,43.09,27.89,-15.2,12.08,78,78,0,0
5166,5166,12.7.2023, 012:40:30.00,4.13,37.43956,24.9457,29.47,35.41,62.81,39.77,24.8,-14.98,11.33,78,78,0,0
5170,5170,12.7.2023, 012:40:31.00,3.65,37.439568,24.945711,28.25,41.5,60.46,34.24,22.43,-11.81,10.27,84,84,0,0
5174,5174,12.7.2023, 012:40:32.00,3.98,37.439575,24.945721,25.81,39.06,63.99,33.46,19.84,-13.61,8.88,78,78,0,0
5178,5178,12.7.2023, 012:40:33.00,4.06,37.439579,24.945728,24.59,40.28,63.99,31.41,16.83,-14.58,8.33,78,78,0,0
5182,5182,12.7.2023, 012:40:34.00,3.91,37.439587,24.945738,20.94,42.72,63.99,26.11,10.96,-15.15,7.37,78,78,0,0
5184,5184,12.7.2023, 012:40:35.00,3.82,37.439594,24.945745,16.06,46.38,59.29,19.1,7.75,-11.35,6.52,84,84,0,0
5188,5188,12.7.2023, 012:40:36.00,4.11,37.439606,24.945751,12.41,47.59,62.81,14.61,3.37,-11.24,4.95,84,84,0,0
5192,5192,12.7.2023, 012:40:37.00,4.04,37.439613,24.945755,7.53,48.81,61.64,8.77,0.0,-8.77,4.18,84,84,0,0
