loop,date,time,spd,lat,lon,mx,my,mz,mdir,th_des,th_err,dist,st,st_fin,col,waypoint
749,749,12.7.2023, 011:45:07.00,4.19,37.438869,24.94577,1.44,-38.94,58.11,177.89,169.26,-8.62,39.03,78,78,1500,1
753,753,12.7.2023, 011:45:08.00,4.13,37.438858,24.94577,-2.22,-38.94,56.93,183.26,168.89,-14.38,37.91,72,84,1608,1
756,756,12.7.2023, 011:45:09.00,4.48,37.438847,24.945768,-7.09,-35.28,56.93,191.37,168.12,-23.24,36.45,66,76,1584,1
759,759,12.7.2023, 011:45:10.00,3.87,37.438839,24.945766,11.19,-32.84,54.58,161.19,167.82,6.63,35.74,90,99,1580,1
763,763,12.7.2023, 011:45:11.00,4.0,37.438828,24.945766,11.19,-36.5,61.64,162.96,167.36,4.4,34.63,90,101,1596,1
767,767,12.7.2023, 011:45:12.00,4.04,37.43882,24.945768,9.97,-37.72,56.93,165.2,167.11,1.91,33.48,90,90,1500,1
771,771,12.7.2023, 011:45:13.00,4.19,37.438808,24.94577,13.63,-34.06,56.93,158.2,166.92,8.72,32.34,90,100,1588,1
775,775,12.7.2023, 011:45:14.00,4.54,37.438797,24.945772,3.88,-36.5,59.29,173.94,166.79,-7.15,31.19,78,89,1596,1
777,777,12.7.2023, 011:45:15.00,4.24,37.438786,24.945774,5.09,-37.72,58.11,172.31,166.32,-5.99,29.68,78,90,1600,1
780,780,12.7.2023, 011:45:16.00,4.37,37.438774,24.945776,3.88,-40.16,55.76,174.49,166.25,-8.24,28.54,78,90,1604,1
784,784,12.7.2023, 011:45:17.00,4.3,37.438766,24.945776,7.53,-36.5,59.29,168.34,165.88,-2.47,27.8,84,100,1640,1
788,788,12.7.2023, 011:45:18.00,4.43,37.438755,24.945776,1.44,-36.5,55.76,177.74,165.18,-12.57,26.7,72,60,1408,1
792,792,12.7.2023, 011:45:19.00,4.06,37.438744,24.945778,11.19,-31.63,58.11,160.52,164.62,4.1,25.19,90,79,1416,1
796,796,12.7.2023, 011:45:20.00,4.39,37.438732,24.94578,19.72,-34.06,58.11,149.93,164.47,14.54,24.01,90,89,1496,1
798,798,12.7.2023, 011:45:21.00,4.35,37.438725,24.945784,14.84,-32.84,59.29,155.68,164.69,9.01,23.2,90,115,1716,1
801,801,12.7.2023, 011:45:22.00,4.0,37.438713,24.945787,11.19,-41.38,55.76,164.87,164.39,-0.48,21.66,84,85,1516,1
804,804,12.7.2023, 011:45:23.00,3.93,37.438705,24.945791,9.97,-38.94,56.93,165.64,164.63,-1.01,20.85,84,84,1500,1
808,808,12.7.2023, 011:45:24.00,4.22,37.438694,24.945793,11.19,-38.94,56.93,163.97,164.17,0.2,19.71,84,84,1500,1
812,812,12.7.2023, 011:45:25.00,4.04,37.438683,24.945795,14.84,-36.5,60.46,157.87,163.13,5.26,18.2,90,90,1500,1
816,816,12.7.2023, 011:45:26.00,4.26,37.438675,24.945797,12.41,-36.5,56.93,161.23,163.72,2.49,17.39,90,89,1496,1
820,820,12.7.2023, 011:45:27.00,4.09,37.438663,24.945801,16.06,-34.06,59.29,154.75,163.42,8.67,16.21,90,90,1500,1
824,824,12.7.2023, 011:45:28.00,4.43,37.438652,24.945805,18.5,-35.28,58.11,152.33,163.06,10.73,14.67,90,90,1504,1
828,828,12.7.2023, 011:45:29.00,4.15,37.438644,24.945808,19.72,-36.5,53.41,151.62,163.57,11.95,13.86,90,89,1496,1
832,832,12.7.2023, 011:45:30.00,4.35,37.438633,24.945812,13.63,-37.72,58.11,160.14,163.33,3.19,12.64,90,90,1500,1
836,836,12.7.2023, 011:45:31.00,4.37,37.438625,24.945818,11.19,-35.28,55.76,162.41,165.18,2.77,11.78,90,90,1500,1
839,839,12.7.2023, 011:45:32.00,4.37,37.438614,24.94582,16.06,-36.5,59.29,156.25,163.21,6.96,10.28,90,89,1496,1
841,841,12.7.2023, 011:45:33.00,4.35,37.438602,24.945826,11.19,-36.5,58.11,162.96,163.54,0.58,9.06,90,90,1500,1
845,845,12.7.2023, 011:45:34.00,4.28,37.438595,24.945829,12.41,-35.28,58.11,160.63,165.53,4.9,8.21,90,89,1492,1
