loop,date,time,spd,lat,lon,mx,my,mz,mdir,th_des,th_err,dist,st,st_fin,col,waypoint
5659,5659,12.7.2023, 010:56:28.00,5.35,37.438671,24.945732,24.59,-31.63,61.64,142.13,146.51,4.38,19.44,90,90,0,2
5663,5663,12.7.2023, 010:56:29.00,5.3,37.43866,24.94574,27.03,-32.84,60.46,140.54,146.44,5.9,18.16,90,90,0,2
5667,5667,12.7.2023, 010:56:30.00,5.85,37.438648,24.945747,27.03,-31.63,59.29,139.48,145.32,5.84,16.48,90,90,0,2
5671,5671,12.7.2023, 010:56:31.00,5.52,37.438637,24.945757,29.47,-34.06,58.11,139.14,144.79,5.65,15.11,90,90,0,2
5675,5675,12.7.2023, 010:56:32.00,5.39,37.438625,24.945765,20.94,-31.63,63.99,146.49,145.98,-0.51,13.74,90,90,0,2
5677,5677,12.7.2023, 010:56:33.00,5.82,37.43861,24.945774,24.59,-30.41,60.46,141.03,143.3,2.27,11.76,90,90,0,2
5681,5681,12.7.2023, 010:56:34.00,5.7,37.438599,24.945784,27.03,-31.63,61.64,139.48,142.9,3.43,10.3,90,90,0,2
5685,5685,12.7.2023, 010:56:35.00,5.91,37.438587,24.945793,23.38,-31.63,59.29,143.53,141.55,-1.98,8.64,90,90,0,2
5689,5689,12.7.2023, 010:56:36.00,5.28,37.438576,24.945801,23.38,-32.84,60.46,144.56,140.6,-3.96,7.27,84,84,0,2
5693,5693,12.7.2023, 010:56:37.00,5.65,37.43856,24.945808,24.59,-31.63,61.64,142.13,134.09,-8.04,5.73,84,84,0,2
5696,5696,12.7.2023, 010:56:38.00,5.46,37.438549,24.945816,27.03,-32.84,61.64,140.54,127.94,-12.6,4.13,78,78,0,2
5699,5699,12.7.2023, 010:56:39.00,5.54,37.438538,24.945824,27.03,-29.19,61.64,137.2,113.97,-23.23,2.98,66,66,0,2
5703,5703,12.7.2023, 010:56:40.00,5.28,37.438526,24.945835,36.78,-23.09,59.29,122.12,82.82,-39.3,1.51,54,54,0,0
5707,5707,12.7.2023, 010:56:43.00,3.74,37.438503,24.945871,48.97,18.34,58.11,69.46,355.41,-74.06,128.0,30,30,0,0
5711,5711,12.7.2023, 010:56:44.00,2.39,37.438499,24.945879,24.59,42.72,65.16,29.93,355.09,-34.84,128.45,54,54,0,0
5715,5715,12.7.2023, 010:56:45.00,3.44,37.438507,24.945885,-3.44,51.25,60.46,356.16,354.86,-1.3,127.73,84,84,0,0
5719,5719,12.7.2023, 010:56:46.00,5.13,37.438519,24.945887,-8.31,50.03,61.64,350.57,354.76,4.19,126.61,90,90,0,0
5723,5723,12.7.2023, 010:56:47.00,4.39,37.43853,24.945885,-10.75,43.94,63.99,346.25,354.75,8.5,125.08,90,90,0,0
5727,5727,12.7.2023, 010:56:48.00,4.54,37.438541,24.945883,-15.63,48.81,62.81,342.25,354.77,12.52,123.93,90,90,0,0
5731,5731,12.7.2023, 010:56:49.00,5.91,37.438553,24.945879,-11.97,47.59,62.81,345.88,354.87,8.98,122.77,90,90,0,0
5735,5735,12.7.2023, 010:56:50.00,5.61,37.438568,24.945875,-14.41,45.16,61.64,342.31,355.01,12.7,120.84,90,90,0,0
5738,5738,12.7.2023, 010:56:51.00,4.8,37.43858,24.945871,-10.75,42.72,61.64,345.88,355.09,9.21,119.68,90,90,0,0
5740,5740,12.7.2023, 010:56:52.00,5.19,37.438595,24.945868,-14.41,47.59,58.11,343.16,355.15,11.99,117.76,90,90,0,0
5744,5744,12.7.2023, 010:56:53.00,5.72,37.438606,24.945862,-14.41,43.94,61.64,341.85,355.33,13.48,116.59,96,96,0,0
5748,5748,12.7.2023, 010:56:54.00,5.48,37.438622,24.945858,-8.31,42.72,65.16,348.99,355.48,6.49,115.04,90,90,0,0
5752,5752,12.7.2023, 010:56:55.00,4.83,37.438633,24.945856,-9.53,43.94,62.81,347.76,355.52,7.76,113.51,90,90,0,0
5756,5756,12.7.2023, 010:56:56.00,5.37,37.438648,24.945854,-11.97,46.38,62.81,345.53,355.53,10.0,111.99,90,90,0,0
5759,5759,12.7.2023, 010:56:57.00,5.78,37.438663,24.94585,-8.31,47.59,65.16,350.09,355.62,5.53,110.07,90,90,0,0
5761,5761,12.7.2023, 010:56:58.00,5.22,37.438675,24.945848,-5.88,43.94,62.81,352.38,355.64,3.26,108.92,90,90,0,0
5765,5765,12.7.2023, 010:56:59.00,5.09,37.43869,24.945847,-14.41,45.16,66.34,342.31,355.64,13.34,107.02,96,96,0,0
5769,5769,12.7.2023, 010:57:00.00,5.06,37.438702,24.945845,-11.97,47.59,60.46,345.88,355.68,9.8,105.87,90,90,0,0
5773,5773,12.7.2023, 010:57:01.00,5.37,37.438717,24.945841,-7.09,45.16,63.99,351.07,355.86,4.78,104.32,90,90,0,0
5777,5777,12.7.2023, 010:57:02.00,5.2,37.438728,24.945839,-15.63,43.94,60.46,340.42,355.89,15.46,102.8,96,96,0,0
5780,5780,12.7.2023, 010:57:03.00,5.28,37.438744,24.945835,-13.19,43.94,61.64,343.29,355.99,12.69,101.26,96,96,0,0
5782,5782,12.7.2023, 010:57:04.00,5.15,37.438755,24.945833,-8.31,46.38,62.81,349.84,356.02,6.18,99.73,90,90,0,0
5786,5786,12.7.2023, 010:57:05.00,5.04,37.438766,24.945831,-9.53,50.03,61.64,349.21,356.05,6.84,98.59,90,90,0,0
5790,5790,12.7.2023, 010:57:06.00,5.63,37.438782,24.945831,-7.09,46.38,63.99,351.3,356.0,4.7,97.07,90,90,0,0
5794,5794,12.7.2023, 010:57:07.00,5.04,37.438793,24.945829,-11.97,46.38,63.99,345.53,356.03,10.51,95.55,90,90,0,0
5798,5798,12.7.2023, 010:57:08.00,5.06,37.438808,24.945827,-7.09,48.81,61.64,351.73,356.15,4.41,94.01,90,90,0,0
5801,5801,12.7.2023, 010:57:09.00,5.52,37.43882,24.945824,-9.53,46.38,62.81,348.39,356.28,7.9,92.85,90,90,0,0
5803,5803,12.7.2023, 010:57:10.00,5.17,37.438835,24.945824,-9.53,47.59,62.81,348.68,356.2,7.52,90.96,90,90,0,0
5807,5807,12.7.2023, 010:57:11.00,5.28,37.438847,24.94582,-9.53,46.38,63.99,348.39,356.36,7.97,89.8,90,90,0,0
5811,5811,12.7.2023, 010:57:12.00,5.22,37.438862,24.945818,-10.75,47.59,60.46,347.27,356.37,9.1,87.9,90,90,0,0
5815,5815,12.7.2023, 010:57:13.00,5.2,37.438873,24.945814,-8.31,45.16,63.99,349.57,356.51,6.94,86.74,90,90,0,0
5818,5818,12.7.2023, 010:57:14.00,5.54,37.438889,24.945812,-5.88,47.59,62.81,352.96,356.55,3.59,84.84,90,90,0,0
5822,5822,12.7.2023, 010:57:15.00,5.19,37.4389,24.94581,-8.31,46.38,61.64,349.84,356.69,6.85,83.68,90,90,0,0
5824,5824,12.7.2023, 010:57:16.00,5.04,37.438911,24.945808,-4.66,47.59,62.81,354.41,356.76,2.35,82.54,90,90,0,0
5828,5828,12.7.2023, 010:57:17.00,5.48,37.438927,24.945807,-9.53,51.25,61.64,349.46,356.79,7.33,80.63,90,90,0,0
5832,5832,12.7.2023, 010:57:18.00,5.22,37.438942,24.945807,-3.44,43.94,61.64,355.53,356.74,1.21,79.12,90,90,0,0
5836,5836,12.7.2023, 010:57:19.00,5.11,37.438953,24.945807,-3.44,47.59,62.81,355.87,356.66,0.79,77.6,90,90,0,0
5840,5840,12.7.2023, 010:57:20.00,5.17,37.438965,24.945807,-7.09,45.16,62.81,351.07,356.61,5.54,76.46,90,90,0,0
5844,5844,12.7.2023, 010:57:21.00,5.59,37.43898,24.945805,-2.22,50.03,65.16,357.46,356.67,-0.79,74.94,90,90,0,0
5846,5846,12.7.2023, 010:57:22.00,5.19,37.438992,24.945805,-1.0,45.16,63.99,358.73,356.6,-2.14,73.42,90,90,0,0
5850,5850,12.7.2023, 010:57:23.00,4.93,37.439007,24.945803,-7.09,47.59,63.99,351.52,356.64,5.12,71.9,90,90,0,0
5854,5854,12.7.2023, 010:57:24.00,5.26,37.439018,24.945801,-11.97,43.94,61.64,344.76,356.68,11.92,70.37,96,96,0,0
5858,5858,12.7.2023, 010:57:25.00,5.61,37.439034,24.945799,-9.53,45.16,63.99,348.08,356.74,8.65,68.84,90,90,0,0
5862,5862,12.7.2023, 010:57:26.00,5.39,37.439045,24.945795,-5.88,45.16,63.99,352.59,357.07,4.48,67.68,90,90,0,0
5865,5865,12.7.2023, 010:57:27.00,4.96,37.43906,24.945793,-7.09,45.16,66.34,351.07,357.13,6.05,65.78,90,90,0,0
5867,5867,12.7.2023, 010:57:28.00,5.07,37.439072,24.945791,-7.09,47.59,61.64,351.52,357.2,5.68,64.63,90,90,0,0
5871,5871,12.7.2023, 010:57:29.00,5.48,37.439083,24.945789,-7.09,45.16,63.99,351.07,357.26,6.19,63.11,90,90,0,0
5875,5875,12.7.2023, 010:57:30.00,5.46,37.439098,24.945787,-3.44,47.59,61.64,355.87,357.34,1.47,61.58,90,90,0,0
5879,5879,12.7.2023, 010:57:31.00,5.17,37.439114,24.945786,-4.66,47.59,62.81,354.41,357.39,2.98,59.68,90,90,0,0
5883,5883,12.7.2023, 010:57:32.00,5.22,37.439125,24.945786,-3.44,48.81,63.99,355.97,357.36,1.39,58.54,90,90,0,0
5886,5886,12.7.2023, 010:57:33.00,5.39,37.43914,24.945784,-10.75,48.81,61.64,347.58,357.43,9.85,57.02,90,90,0,0
